,trade_date,open,low,close,pre_close,change,high
378,20171102,3.9,3.85,3.89,3.91,-0.02,3.91
379,20171101,3.94,3.89,3.91,3.94,-0.03,3.95
380,20171031,4.02,3.93,3.94,4.05,-0.11,4.02
381,20171030,4.03,4.01,4.05,4.03,0.02,4.07
382,20171027,3.99,3.98,4.03,4.0,0.03,4.06
383,20171026,4.07,3.97,4.0,4.07,-0.07,4.08
384,20171025,4.12,4.05,4.07,4.12,-0.05,4.13
385,20171024,4.11,4.11,4.12,4.11,0.01,4.14
386,20171023,4.16,4.11,4.11,4.17,-0.06,4.17
387,20171020,4.17,4.15,4.17,4.19,-0.02,4.18
388,20171019,4.15,4.14,4.19,4.17,0.02,4.2
389,20171018,4.14,4.11,4.17,4.14,0.03,4.19
390,20171017,4.15,4.13,4.14,4.15,-0.01,4.16
391,20171016,4.14,4.11,4.15,4.14,0.01,4.16
392,20171013,4.15,4.12,4.14,4.16,-0.02,4.15
393,20171012,4.18,4.14,4.16,4.17,-0.01,4.18
394,20171011,4.14,4.12,4.17,4.14,0.03,4.19
395,20171010,4.13,4.1,4.14,4.12,0.02,4.14
396,20171009,4.24,4.08,4.12,4.12,0.0,4.28
397,20170929,4.13,4.11,4.12,4.14,-0.02,4.16
398,20170928,4.15,4.1,4.14,4.15,-0.01,4.16
399,20170927,4.2,4.13,4.15,4.2,-0.05,4.22
400,20170926,4.21,4.2,4.2,4.23,-0.03,4.22
401,20170925,4.19,4.16,4.23,4.19,0.04,4.24
402,20170922,4.14,4.14,4.19,4.16,0.03,4.2
403,20170921,4.12,4.09,4.16,4.13,0.03,4.17
404,20170920,4.07,4.06,4.13,4.08,0.05,4.14
405,20170919,4.08,4.03,4.08,4.06,0.02,4.08
406,20170918,4.07,4.05,4.06,4.06,0.0,4.1
407,20170915,4.1,4.02,4.06,4.12,-0.06,4.11
408,20170914,4.19,4.1,4.12,4.18,-0.06,4.2
409,20170913,4.2,4.17,4.18,4.2,-0.02,4.21
410,20170912,4.2,4.15,4.2,4.2,0.0,4.22
411,20170911,4.21,4.19,4.2,4.2,0.0,4.26
412,20170908,4.22,4.18,4.2,4.22,-0.02,4.23
413,20170907,4.26,4.22,4.22,4.26,-0.04,4.27
414,20170906,4.25,4.22,4.26,4.27,-0.01,4.28
415,20170905,4.21,4.2,4.27,4.21,0.06,4.29
416,20170904,4.2,4.13,4.21,4.2,0.01,4.23
417,20170901,4.22,4.16,4.2,4.23,-0.03,4.26
418,20170831,4.29,4.17,4.23,4.27,-0.04,4.31
419,20170830,4.3,4.24,4.27,4.32,-0.05,4.37
420,20170829,4.23,4.2,4.32,4.23,0.09,4.34
421,20170828,4.23,4.2,4.23,4.21,0.02,4.35
422,20170825,4.06,4.06,4.21,4.06,0.15,4.22
423,20170824,4.06,4.05,4.06,4.06,0.0,4.13
424,20170823,4.0,3.99,4.06,4.0,0.06,4.08
425,20170822,3.99,3.96,4.0,3.99,0.01,4.01
426,20170821,4.0,3.96,3.99,4.0,-0.01,4.02
427,20170818,4.0,3.98,4.0,4.02,-0.02,4.03
428,20170817,4.03,3.98,4.02,4.03,-0.01,4.03
429,20170816,4.05,4.0,4.03,4.04,-0.01,4.07
430,20170815,3.92,3.92,4.04,3.91,0.13,4.08
431,20170814,3.92,3.88,3.91,3.95,-0.04,3.94
432,20170811,3.94,3.85,3.95,3.98,-0.03,3.96
433,20170810,3.98,3.92,3.98,3.98,0.0,4.01
434,20170809,4.05,3.98,3.98,4.07,-0.09,4.07
